Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3s6ltUrI93LBKU8taezsLn,"Magic in the Air (feat. Ahmed Chawki)","Africainement vôtre","Magic System,Chawki",2014-05-16,233693,71,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:04:40Z,"afro house,pop marocaine","Parlophone (France)",0.621,0.907,2,-3.923,1,0.0474,0.091,0,0.067,0.884,128.056,4
spotify:track:46vfSYsDJZaNQcD4YvT8GD,"Best life","Best Life","Naps,GIMS",2021-10-08,189400,66,true,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:04:43Z,"hip-hop français,pop urbaine,chicha,r&b français,pop française","OK Many Industrie/13ème Art Music",0.919,0.779,7,-4.739,0,0.147,0.258,0,0.0991,0.941,138.038,4
spotify:track:6FxIFhVlOvI1wcXWe8LKei,"En feu","L'Everest (Deluxe Edition)","Soprano",2016-10-14,205293,66,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:04:53Z,"hip-hop français,chanson,pop française,r&b français,pop urbaine,variété française","Rec. 118",0.588,0.945,0,-2.72,1,0.351,0.0721,0,0.25,0.557,139.75,4
spotify:track:6Yvh8kAb95e5On64Mj0gdw,"C'est la vie","Rendez-vous au soleil","Collectif Métissé",2015-06-15,229013,46,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:10Z,"pop française,kuduro","Universal Music Division Polydor France",0.761,0.834,3,-5.784,1,0.0647,0.0504,0.00000332,0.121,0.707,130.046,4
spotify:track:5S4Qq5ufU91XImS0T7EjJj,"On t'emmène","Comme des enfants","Trois Cafés Gourmands",2020-10-09,186280,60,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:13Z,"variété française,pop française,chanson","Play Two",0.794,0.61,0,-5.951,1,0.0353,0.215,0,0.135,0.929,132.021,4
spotify:track:2NXk38cqDXz1qY6E1ADlKA,"Dingue","Chasseur d'étoiles","Soprano",2021-09-03,206106,54,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:23Z,"hip-hop français,chanson,pop française,r&b français,pop urbaine,variété française","Rec. 118",0.8,0.641,0,-4.149,0,0.185,0.00554,0,0.0662,0.917,160.961,4
spotify:track:4OqP3w4JuU43BZhKO5t1Rn,"Tombollywood","Tombollywood","Moussier Tombola",2014-05-12,228709,48,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:25Z,"","XKS",0.602,0.928,6,-4.445,1,0.17,0.0173,0,0.14,0.708,137.095,4
spotify:track:0ZhbQQhz3qnuFFcqfb5TE2,"Tahiti","Rêver","Keen' V",2021-05-07,183223,51,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:36Z,"pop française,variété française,chanson","Parlophone (France)",0.744,0.851,10,-5.86,1,0.0517,0.196,0,0.0969,0.718,120.99,4
spotify:track:6aZPMuJetqwKQCPClCNgd3,"Clic clic pan pan","Pays des merveilles","Yanns",2022-02-04,163977,62,true,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:45Z,"pop urbaine,chanson","Prodige music",0.798,0.763,10,-6.134,0,0.0654,0.204,0,0.213,0.698,132.016,4
spotify:track:11G8CE8y5M0t3n0r7FrppK,"La goffa Lolita","Libertà Lolita !","Vincè la petite culotte",2022-11-04,221149,52,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:48Z,"","Parlophone (France)",0.624,0.944,9,-5.723,0,0.173,0.00506,0,0.313,0.362,130.092,4
spotify:track:63siBeZzxXVaY0uASns1V2,"Coup de vieux","Les autres c’est nous","Bigflo & Oli,Julien Doré",2022-06-23,232373,61,true,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:52Z,"hip-hop français,chanson,pop française,variété française,house française,pop française indie","Universal Music Distributed Deals",0.834,0.624,9,-8.565,0,0.0838,0.0729,0,0.106,0.831,115.981,4
spotify:track:3wU34gBKjzcDMxpHlTmihG,"Ce soir","Ressources (Nouvelle Edition)","Amir",2021-11-12,213804,50,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:06:54Z,"pop française,chanson,variété française","Parlophone (France)",0.632,0.663,11,-5.898,0,0.0389,0.0229,0.00000409,0.105,0.475,163.887,4
spotify:track:1hlHyt8OJfKU1g8g7rZxxb,"La recette","Chroniques d’un cupidon","Slimane",2022-09-01,197706,56,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:00Z,"pop française,variété française,chanson","Universal Music Division Capitol Music France",0.727,0.673,7,-6.269,0,0.052,0.248,0,0.176,0.397,95.925,4
spotify:track:0DGp8Gj7BGXmuAHtWDoFu2,"Je garde le sourire","Rêver","Keen' V",2021-05-07,162580,43,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:15Z,"pop française,variété française,chanson","Parlophone (France)",0.782,0.642,7,-5.62,0,0.0382,0.35,0,0.0752,0.699,124.051,4
spotify:track:4ui0FVFg6jv06mDV8R4ihd,"La fête","Ressources","Amir",2020-10-16,192857,48,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:30Z,"pop française,chanson,variété française","Parlophone (France)",0.758,0.582,10,-6.233,0,0.111,0.215,0,0.129,0.824,98.095,4
spotify:track:2imLYhuE0rBYnSrhXDOaRX,"Ninja","Phoenix","Soprano",2018-11-09,185853,50,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:33Z,"hip-hop français,chanson,pop française,r&b français,pop urbaine,variété française","Rec. 118",0.826,0.685,2,-5.982,0,0.0387,0.0307,0,0.0774,0.641,99.001,4
spotify:track:0CJ31BEjjl1tPIj0CKi9kH,"Sapés comme jamais (feat. Niska) - Pilule bleue","Mon coeur avait raison","GIMS,Niska",2015-08-28,206786,70,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:39Z,"hip-hop français,r&b français,pop française,pop urbaine","Jive Epic",0.842,0.777,6,-3.869,0,0.226,0.209,0.00000867,0.229,0.751,120.081,4
spotify:track:0Wh6e5EkmQseBGVeJqzC9X,"Quand la musique est bonne","Quand la musique est bonne","Jean-Jacques Goldman",1982-09-27,232440,63,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:42Z,"variété française,chanson,pop française,house française","Columbia",0.728,0.742,7,-5.969,0,0.038,0.0564,0,0.0757,0.799,127.749,4
spotify:track:7p5Na4GvFzP6M7i1ti2YRJ,"Ça (c'est vraiment toi) - Remasterisé en 2015","Dure limite (Remasterisé en 2015)","Téléphone",1982-06-03,268560,57,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:48Z,"variété française,chanson,pop française","Parlophone (France)",0.597,0.916,9,-3.489,1,0.0507,0.0239,0.00000363,0.305,0.921,139.427,4
spotify:track:2UC5XnHA1Wn9FjQmbjNca9,"L'aventurier","L'aventurier","Indochine",1982,231960,68,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:52Z,"variété française,chanson,pop française","Indochine Records",0.556,0.909,4,-9.982,1,0.0444,0.254,0.00058,0.0971,0.633,167.101,4
spotify:track:0Wr98MVkENZXddiLB3bPb0,"J't'emmène au vent","Louise Attaque","Louise Attaque",1997-04-22,184173,70,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:07:59Z,"variété française,chanson,pop française,house française","Universal Music Division Barclay",0.567,0.772,6,-5.577,1,0.0365,0.252,0,0.101,0.597,137.014,4
